Name,LTP (NAV),Change(%),Asset (Cr.),Volume,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,Exp Ratio,Margin Funding,Margin Pledge
"HDFC Nifty IT ETF","35.54","0.68%","109.98","1,64,117","47.74","32.24","-5.15%","-12.44%","-18.64%","19.95%","19.95%","0.20%","73.50%","-"
"ICICI Pru Nifty Commodities ETF","91.73","0.52%","102.88","1,53,254","101.33","75.61","4.01%","1.47%","-7.03%","29.22%","29.22%","0.30%","73.50%","-"
"DSP Nifty Midcap 150 Quality 50 ETF","244.06","0.67%","101.44","15,870","267.99","191.97","-1.56%","-4.49%","-8.04%","16.00%","16.00%","0.30%","80.00%","-"
"Invesco India Nifty 50 ETF","2,822.66","0.47%","95.03","2","2,990.00","2,480.00","1.51%","-2.02%","-4.42%","51.08%","127.73%","0.10%","-","-"
"Aditya Birla Nifty Next 50 ETF","71.17","0.47%","93.63","10,237","82.05","58.37","2.12%","-0.88%","-11.18%","66.95%","155.82%","0.09%","80.00%","-"
"Mirae Asset Nifty 8-13 Year G-Sec ETF","29.30","0.10%","92.77","3,300","31.00","27.00","1.28%","0.27%","7.25%","17.67%","17.67%","0.09%","80.00%","-"
"ICICI Pru BSE Midcap Select ETF","17.27","0.76%","87.81","1,23,569","20.00","13.86","-0.58%","-3.95%","-9.34%","67.18%","164.07%","0.15%","80.00%","-"
"Motilal Oswal Nifty Capital Market ETF","42.28","1.44%","84.35","3,48,015","51.13","29.20","-0.40%","-10.39%","43.96%","43.96%","43.96%","0.53%","73.50%","-"
"Nippon Nifty 50 DO ETF (DIVOPPBEES)","77.55","0.39%","83.66","44,402","91.65","68.30","1.11%","-2.44%","-12.83%","75.97%","178.06%","0.37%","73.50%","-"
"Groww Nifty India Railways PSU ETF","34.84","0.03%","81.52","3,34,836","43.66","28.72","2.89%","-9.88%","-3.97%","-3.97%","-3.97%","0.49%","73.50%","-"
"ICICI Pru Nifty PSU Bank ETF","75.90","-0.35%","80.35","1,84,440","76.53","55.80","9.98%","2.99%","10.88%","42.00%","42.00%","0.40%","73.10%","-"
"Kotak Nifty Midcap 50 ETF","164.05","0.81%","79.09","40,256","181.00","134.98","0.52%","-4.01%","-4.63%","21.96%","21.96%","0.05%","80.00%","-"
"Motilal Oswal Sensex Low Volatility ETF","37.47","0.92%","76.77","1,53,577","41.85","33.05","-0.95%","-2.24%","-7.73%","59.99%","67.05%","0.37%","80.00%","-"
"Zerodha Nifty 100 ETF","10.63","1.14%","75.59","4,50,589","12.00","8.01","1.05%","-2.30%","-4.23%","4.83%","4.83%","0.25%","80.00%","-"
"Quantum Nifty 50 ETF","2,710.99","0.91%","72.97","322","2,848.48","2,364.00","0.86%","-2.44%","-2.63%","51.80%","131.31%","0.09%","80.00%","-"
"Groww Silver ETF","144.01","2.42%","71.42","9,57,921","148.00","94.20","17.90%","35.25%","47.13%","47.13%","47.13%","0.43%","73.50%","-"
" Edelweiss Nifty LargeMidcap 250 ETF","16.06","0.56%","70.24","1,532","19.20","15.89","-0.86%","-0.86%","-0.86%","-0.86%","-0.86%","-","-","-"
"HDFC Nifty 100 ETF","26.26","0.84%","69.82","16,605","29.10","21.15","1.16%","-2.01%","-4.13%","51.35%","47.45%","0.30%","80.00%","-"
"ICICI Pru Nifty Consumption ETF","125.55","-0.84%","68.52","3,66,479","154.00","101.23","-0.20%","3.27%","-4.50%","35.00%","35.00%","0.20%","73.50%","-"
"Mirae Asset Nifty50 Equal Weight ETF","320.58","1.00%","64.68","310","331.65","303.44","1.23%","-0.25%","2.36%","2.36%","2.36%","0.10%","-","-"
"Groww Nifty 1D Rate Liquid ETF","105.98","0.03%","62.57","75,712","107.55","98.46","0.42%","1.25%","5.76%","5.85%","5.85%","0.29%","80.00%","94.00%"
"Motilal Oswal Silver ETF","144.59","2.36%","61.86","4,80,439","146.45","112.32","17.28%","26.47%","26.47%","26.47%","26.47%","0.55%","-","-"
"SBI Nifty IT ETF","369.88","0.78%","61.84","8,250","510.00","335.00","-4.87%","-12.30%","-18.20%","33.55%","71.24%","0.20%","73.50%","-"
"Mirae Asset Nifty Metal ETF","10.14","-5.41%","61.71","47,48,343","11.50","7.73","8.57%","5.62%","3.68%","3.68%","3.68%","0.28%","73.50%","-"
"SBI Nifty 200 Quality 30 ETF","220.59","0.02%","60.62","48,601","252.99","191.50","-1.24%","-2.25%","-11.75%","48.46%","106.24%","0.30%","80.00%","-"
"Motilal Oswal Nifty 50 ETF","258.07","1.03%","59.99","5,600","273.30","218.00","0.80%","-2.05%","-2.52%","51.62%","130.46%","0.06%","80.00%","-"
"NIPPONAMC - LIQGRWBEES","1,010.13","0.03%","56.82","1,87,270","1,033.98","1,001.14","0.42%","0.90%","0.90%","0.90%","0.90%","0.49%","-","94.00%"
"Nippon Nifty Shariah ETF (SHARIABEES)","486.26","0.70%","51.18","8,146","601.55","439.91","-3.23%","-5.49%","-18.46%","23.61%","61.38%","0.96%","73.50%","-"
"Mirae Asset Nifty 500 Multicap ETF","16.06","0.88%","50.25","46,119","17.28","13.43","1.20%","-2.96%","-5.19%","-3.83%","-3.83%","0.15%","80.00%","-"
"Aditya Birla CRISIL Liquid Ovnight ETF","1,000.00","-0.00%","46.92","15,356","1,030.00","990.00","-","-","-","-","-","0.43%","80.00%","94.00%"
"HDFC Nifty 1D Rate Liquid ETF","1,030.03","0.03%","46.33","1,17,771","1,045.47","975.00","0.42%","1.23%","3.00%","3.00%","3.00%","0.45%","75.00%","94.00%"
"Mirae Asset Nifty 100 Low Vol 30 ETF","204.94","0.52%","46.18","1,168","227.00","159.00","-1.94%","-0.29%","-5.58%","37.93%","37.93%","0.33%","-","-"
"Mirae Asset Mutual Fund","75.23","-0.57%","45.79","18,048","77.00","55.29","9.91%","3.18%","14.33%","14.33%","14.33%","0.18%","73.50%","-"
"Aditya Birla Nifty 200 Momentum 30 ETF","30.57","0.99%","45.67","36,964","39.56","25.75","0.59%","-5.30%","-20.08%","60.89%","73.30%","0.29%","80.00%","-"
"SBI Nifty Liquid ETF","999.99","-0.00%","45.26","4,154","1,029.99","990.15","-","-","-","-","-","0.35%","80.00%","94.00%"
"ABGSEC","110.01","0.26%","44.05","735","113.03","102.65","0.52%","0.04%","6.32%","-1.58%","-1.58%","0.19%","80.00%","-"
"360 One Gold ETF","115.85","1.71%","42.62","45,188","119.95","78.20","12.64%","20.74%","32.40%","32.40%","32.40%","0.43%","73.50%","-"
"360 ONE Silver ETF","144.05","2.25%","42.30","14,871","146.98","78.40","17.52%","35.26%","48.20%","48.20%","48.20%","0.41%","-","-"
"LIQUIDSHRI","1,073.03","0.03%","40.16","9,718","1,095.15","1,015.29","0.42%","1.27%","5.69%","7.29%","7.29%","0.37%","80.00%","94.00%"
"Angel One Nifty Total Market ETF","11.62","0.87%","38.40","3,27,166","12.41","9.63","0.96%","-2.52%","13.81%","13.81%","13.81%","0.28%","80.00%","-"
"DSP Nifty IT ETF","35.23","0.71%","37.59","92,596","48.66","32.61","-4.86%","-12.12%","-18.56%","-7.73%","-7.73%","0.20%","73.50%","-"
"HDFC Nifty 100 Low Volatility 30 ETF","20.49","0.49%","37.34","8,190","23.00","17.70","-1.91%","0.10%","-5.66%","64.45%","64.45%","0.30%","80.00%","-"
"Kotak Nifty MNC ETF","30.53","0.10%","37.11","91,628","33.45","24.52","1.06%","3.95%","-7.71%","20.43%","20.43%","0.30%","80.00%","-"
"Aditya Birla Nifty Healthcare ETF","14.71","1.10%","36.21","1,46,436","16.25","12.20","-0.54%","-0.54%","-2.65%","76.59%","70.85%","0.19%","73.50%","-"
"Edelweiss Nifty 500 Multicap MQ 50 ETF","40.86","0.15%","35.62","27,789","53.90","34.71","0.20%","-6.69%","-13.32%","-13.32%","-13.32%","0.31%","80.00%","-"
"HDFC Nifty 50 Value 20 ETF","132.22","0.70%","35.45","3,594","153.57","117.50","-0.46%","-2.36%","-11.55%","56.83%","57.20%","0.20%","73.50%","-"
"Mirae Asset Nifty New Age Cons. ETF","11.99","0.84%","34.49","1,77,102","13.97","9.00","-0.83%","1.35%","1.44%","1.44%","1.44%","0.33%","73.50%","-"
"ICICIPRAMC - EVIETF","30.96","0.75%","33.43","1,30,019","33.75","23.56","1.34%","5.49%","18.58%","18.58%","18.58%","0.44%","73.50%","-"
"DSP BSE Sensex Next 30 ETF","39.00","0.62%","32.53","1,30,433","40.63","32.27","1.01%","-1.52%","6.41%","6.41%","6.41%","0.15%","80.00%","-"
"Aditya Birla Nifty PSE ETF","10.10","0.60%","32.52","2,87,889","11.43","8.00","5.43%","-1.46%","-10.54%","-7.51%","-7.51%","0.20%","73.50%","-"
"Motilal Oswal Sensex Healthcare ETF","44.16","1.05%","31.64","47,784","47.57","37.93","-0.47%","-1.47%","-1.34%","89.04%","90.51%","0.24%","73.50%","-"
"HDFC Nifty PSU Bank ETF","75.71","-0.05%","30.76","41,009","76.14","55.68","9.66%","3.61%","11.04%","12.60%","12.60%","0.35%","73.50%","-"
"GSEC10ABSL","108.64","0.02%","30.44","2","110.43","101.35","-0.06%","-0.39%","6.93%","8.57%","8.57%","0.20%","-","-"
"Aditya Birla Nifty 200 Quality 30 ETF","21.24","0.28%","29.11","49,122","25.06","18.30","-0.93%","-1.71%","-11.32%","51.39%","0.95%","0.29%","80.00%","-"
"UTI Sensex Next 50 ETF","89.36","0.73%","27.84","1,065","102.25","66.72","0.48%","-2.02%","-5.58%","76.22%","184.86%","0.20%","80.00%","-"
"SBI Nifty 50 Equal Weight ETF","32.20","0.94%","27.02","13,566","34.57","27.30","1.58%","-0.09%","-3.82%","-0.19%","-0.19%","0.30%","80.00%","-"
"Angel One Gold ETF","11.04","1.94%","26.67","8,73,349","11.09","10.00","7.18%","7.18%","7.18%","7.18%","7.18%","-","-","-"
"Motilal Oswal Nifty 50 Equal Weight ETF","32.10","1.17%","26.13","3,484","33.80","29.78","1.49%","-0.09%","6.22%","6.22%","6.22%","0.15%","-","-"
"UTI Nifty 5 Year G-Sec ETF","62.66","0.02%","24.71","176","65.00","57.82","0.55%","-0.46%","7.77%","-0.37%","-0.37%","0.21%","80.00%","-"
"Groww BSE Power ETF","10.15","0.89%","23.77","2,94,179","10.70","9.44","4.21%","2.42%","2.42%","2.42%","2.42%","0.43%","-","-"
"UTI Nifty 10 Year G-Sec ETF","26.05","0.97%","23.43","41,409","27.25","23.71","1.56%","0.04%","7.96%","-4.02%","-4.02%","0.26%","80.00%","-"
"SBI Nifty Consumption ETF","124.61","0.37%","23.40","22,919","135.96","101.64","-0.92%","2.87%","-4.99%","60.37%","94.73%","0.25%","73.50%","-"
"HDFC Nifty 100 Quality 30 ETF","57.70","0.72%","22.28","6,239","66.28","49.53","-0.57%","-0.74%","-9.72%","54.86%","53.38%","0.30%","80.00%","-"
"Zerodha Nifty 8-13 Yr G-Sec ETF","29.43","-0.10%","21.93","2,86,742","30.40","28.91","0.93%","0.58%","0.58%","0.58%","0.58%","0.07%","-","-"
"Groww Nifty India Internet ETF","10.48","1.16%","21.21","1,82,334","12.14","9.17","-1.96%","5.01%","5.01%","5.01%","5.01%","0.38%","-","-"
"Axis Nifty Healthcare ETF","145.33","0.87%","21.14","2,616","159.99","127.43","1.02%","-1.27%","-3.39%","75.10%","72.25%","0.34%","73.50%","-"
"Groww Nifty 500 Momentum 50 ETF","10.29","1.38%","19.11","1,08,703","12.00","9.11","0.29%","-7.30%","1.18%","1.18%","1.18%","0.44%","80.00%","-"
"Edelweiss BSE Cap. Markets & Ins. ETF","22.82","0.80%","18.96","19,083","26.77","17.13","-0.09%","-5.62%","10.35%","10.35%","10.35%","0.26%","73.50%","-"
"Motilal Oswal BSE Quality ETF","191.50","0.35%","18.83","496","220.18","162.15","-0.47%","-3.78%","-11.84%","66.93%","40.52%","0.31%","80.00%","-"
"HDFC Nifty Growth Sectors 15 ETF","120.86","0.72%","18.66","2,913","134.18","103.11","-1.03%","1.04%","-8.24%","38.84%","38.35%","0.30%","73.50%","-"
"Mirae Asset Sensex ETF","82.76","0.64%","18.58","17,429","86.95","72.01","0.56%","-3.01%","-2.98%","24.77%","24.77%","0.05%","80.00%","-"
"HDFC BSE 500 ETF","37.11","-0.83%","18.57","21,511","39.55","31.14","1.81%","-1.46%","-3.51%","57.11%","57.11%","0.30%","80.00%","-"
"ICICI Pru Nifty 5 Year G-Sec ETF","63.33","0.25%","17.16","40,687","66.70","57.32","1.60%","1.17%","8.55%","16.80%","16.80%","0.20%","80.00%","-"
"SBI Nifty 1D Rate Liquid ETF - Growth","1,008.05","0.03%","16.50","550","1,027.15","984.99","0.44%","0.71%","0.71%","0.71%","0.71%","0.20%","-","94.00%"
"Mirae Asset BSE Select IPO ETF","48.28","0.75%","16.33","7,759","57.75","35.40","-1.39%","-2.03%","22.38%","22.38%","22.38%","0.35%","73.50%","-"
"Mirae Asset Nifty India Internet ETF","14.13","1.22%","15.68","37,728","16.12","13.30","-1.94%","5.06%","5.06%","5.06%","5.06%","0.15%","-","-"
"Mirae Asset BSE 200 Equal Weight ETF","13.01","0.54%","14.46","35,085","13.75","11.03","1.48%","-1.59%","14.93%","14.93%","14.93%","0.34%","-","-"
"ICICI Pru Nifty 200 Value 30 ETF","13.47","0.07%","14.45","62,242","14.14","10.93","5.23%","0.52%","1.89%","1.89%","1.89%","0.30%","80.00%","-"
"Axis Nifty India Consumption ETF","124.42","0.19%","14.36","796","133.77","101.00","-1.02%","2.70%","-5.13%","58.88%","67.12%","0.38%","73.50%","-"
"Groww Nifty 200 ETF","11.23","0.99%","13.67","50,852","12.45","9.00","1.45%","-2.60%","14.59%","14.59%","14.59%","0.35%","80.00%","-"
"Axis Nifty500 Value 50 ETF","29.51","0.37%","13.54","37,452","30.21","22.84","5.13%","1.44%","14.07%","14.07%","14.07%","0.25%","80.00%","-"
"Angel One Nifty 50 ETF","10.16","0.99%","12.70","2,39,521","12.00","9.47","0.59%","-2.59%","0.79%","0.79%","0.79%","0.09%","80.00%","-"
"Tata Nifty Private Bank ETF","277.40","1.71%","11.48","653","299.00","240.38","2.27%","-4.69%","-2.88%","38.54%","132.99%","0.13%","73.50%","-"
"Groww Nifty 50 ETF","9.94","0.61%","11.38","1,63,529","11.00","9.50","0.71%","-1.00%","-1.00%","-1.00%","-1.00%","0.16%","-","-"
"MO Nifty Midcap150 Momtm 50 ETF","61.66","3.04%","10.88","44,488","65.85","59.48","-","-4.48%","-4.48%","-4.48%","-4.48%","0.53%","-","-"
"DSP Nifty Healthcare ETF","144.15","1.24%","10.59","1,370","152.04","120.00","-0.33%","-0.95%","-2.44%","22.72%","22.72%","0.20%","-","-"
"UTI Nifty Midcap 150 ETF","228.98","1.24%","10.58","13,440","232.80","174.82","7.87%","3.77%","1.94%","51.65%","51.65%","0.25%","80.00%","-"
"DSP Sensex ETF","82.93","0.91%","8.56","981","95.00","72.00","1.00%","-2.64%","-2.66%","14.70%","14.70%","0.07%","80.00%","-"
"ICICI Pru Nifty Top 15 Eq Weight ETF","10.42","0.48%","7.97","21,862","10.96","10.00","1.86%","0.10%","0.10%","0.10%","0.10%","0.35%","-","-"
"Nippon Nifty India Manufacturing ETF","149.04","0.83%","7.50","1,031","154.98","142.50","2.76%","4.54%","4.54%","4.54%","4.54%","0.25%","-","-"
"Kotak Nifty Consumption ETF","124.05","0.38%","7.32","2,937","151.15","102.46","-0.60%","2.57%","-6.67%","24.19%","24.19%","0.10%","-","-"
"Zerodha Nifty Smallcap 100 ETF","9.99","0.81%","7.17","1,13,397","11.00","9.83","-1.77%","-1.77%","-1.77%","-1.77%","-1.77%","-","-","-"
"GROWWAMC - GROWWNXT50","67.91","0.37%","6.47","10,783","71.46","64.00","2.04%","1.21%","1.21%","1.21%","1.21%","0.30%","-","-"
"UTI Nifty IT ETF","349.97","0.71%","6.03","1,628","469.99","325.00","-4.92%","-12.41%","-18.50%","-3.89%","-3.89%","0.19%","-","-"
"Motilal Oswal Nifty Alpha 50 ETF","49.40","1.23%","5.11","5,639","54.38","46.05","-1.59%","-6.07%","-6.07%","-6.07%","-6.07%","0.53%","-","-"
"Groww Nifty 500 Low Volatility 50 ETF","10.29","0.49%","5.03","28,424","11.50","9.00","0.88%","0.49%","2.49%","2.49%","2.49%","0.32%","-","-"
"EDELAMC - EBANKNIFTY","55.67","1.48%","4.68","3,582","57.84","47.00","2.26%","-3.35%","4.86%","6.55%","6.55%","0.10%","61.00%","-"
"KOTAKMAMC - MID150","21.35","0.42%","4.65","49,365","25.49","17.98","0.05%","-3.48%","11.08%","11.08%","11.08%","0.10%","-","-"
"Nippon India BSE Sensex Next 30 ETF","38.79","0.49%","4.24","13,142","41.00","37.03","0.57%","-2.02%","2.16%","2.16%","2.16%","0.15%","80.00%","-"
"Bandhan Nifty 50 ETF","270.63","-0.20%","3.87","440","298.84","235.01","0.58%","-2.46%","-3.70%","50.37%","138.65%","0.09%","80.00%","-"
"Baroda BNP Paribas Nifty Bank ETF","55.26","0.93%","3.80","1,803","60.60","47.43","1.69%","-4.01%","4.22%","7.61%","7.61%","0.09%","73.50%","-"
"Kotak Nifty 100 Equal Weight ETF","33.26","0.67%","2.48","2,675","34.58","24.25","1.74%","-0.12%","17.57%","17.57%","17.57%","0.25%","80.00%","-"
"Motilal Oswal Nifty India Tourism ETF","88.38","0.50%","2.21","7,373","97.20","85.82","-2.93%","-4.89%","-1.11%","-1.11%","-1.11%","0.52%","-","-"
"Kotak Nifty200 Quality 30 - ETF","20.56","0.64%","2.19","2,335","21.49","19.51","-0.87%","-1.63%","-1.63%","-1.63%","-1.63%","0.25%","-","-"
"Motilal Oswal BSE India Infra ETF","60.49","0.60%","1.67","418","63.04","56.28","5.55%","-1.13%","0.65%","0.65%","0.65%","0.52%","-","-"
"Motilal Oswal Nifty Next 50 ETF","68.21","1.07%","1.43","13,673","71.15","63.54","2.91%","-0.12%","5.18%","5.18%","5.18%","0.20%","-","-"
"Motilal Oswal Nifty PSE ETF","98.94","0.12%","1.19","23","101.66","92.55","5.15%","-1.81%","-0.34%","-0.34%","-0.34%","0.52%","-","-"
"Motilal Oswal Nifty Ind Mfg ETF","147.90","0.74%","1.11","9,723","182.16","139.07","3.02%","2.28%","4.85%","4.85%","4.85%","0.52%","-","-"
